Company_Brand,HeadQuarter,Sector,What_it_does,Amount,Stage,Stage_category,Funding_year,Sector_category
GoodGamer,Bangalore,Gaming,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,25000000.0,Seed,Seed,2020,Consumer Discretionary
InnAccel,Bangalore,Medtech,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",15000000.0,Pre-series A,Pre-seed,2020,unknown
SoOLEGAL,New Delhi,LegalTech,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",40000000.0,Undisclosed,Others,2020,Consumer Discretionary
HobSpace,Mumbai,Edtech,India's Activity Hub for Kids,2000000.0,Seed,Seed,2020,unknown
Supplynote,Noida,SaaS startup,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,5000000.0,Seed,Seed,2020,Information Technology
Hire Me Car,Noida,Car Service,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,0.0,Seed,Seed,2020,Information Technology
Harmonizer India,Bangalore,Tech Startup,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",0.0,Undisclosed,Others,2020,unknown
Zomato,Gurugram,FoodTech,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,520000000.0,Undisclosed,Others,2020,Consumer Discretionary
Dukaan,Mumbai,Tech Startup,Developer of an android application designed for businesses to sell online.,60000000.0,Seed,Seed,2020,unknown
CredR,Mumbai,Bike marketplace,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,20000000.0,Undisclosed,Others,2020,Information Technology
Satyukt,Bangalore,Agri tech,An agritech company that provides business to business (B2B) agricultural data,5000000.0,Seed,Seed,2020,Information Technology
RACEnergy,Hyderabad,Automobiles,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,0.0,Undisclosed,Others,2020,Consumer Discretionary
TREAD,Bangalore,Fitness startup,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,11000000.0,Pre-seed,Pre-seed,2020,Consumer Discretionary
Anveshan,Bangalore,FoodTech,Provide quality and healthy food products,1000000.0,Pre-seed,Pre-seed,2020,Consumer Discretionary
TeaMonk,Bangalore,Food & Bevarages,India's Finest Specialty Tea company.,9000000.0,Pre-series A,Pre-seed,2020,Consumer Discretionary
Fleetx,Gurugram,Tech Startup,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",30000000.0,Pre-series B,Pre-seed,2020,unknown
ReNEWate,Pune,Real Estate,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",0.0,Pre-seed,Pre-seed,2020,Consumer Discretionary
Tango Eye,Chennai,SaaS startup,Retail Video Analytics SaaS product,0.0,Seed,Seed,2020,Information Technology
Rare Planet,Kolkata,Reatil startup,Rare Planet sells handicrafts made by local artisans.,0.0,Pre-series A,Pre-seed,2020,unknown
Avataa Me,Bangalore,AR platform,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,70000000.0,Series A,Series A,2020,Information Technology
MikeLegal,Gurugram,LegalTech,MikeLegal is an AI powered legal associate that aims to build an ecosystem of legal tools,0.0,Seed,Seed,2020,Consumer Discretionary
Miko,Mumbai,AI startup,"Miko is an advanced robotics startup founded by three IIT Bombay post-graduates on the pillars of robotics, AI & IoT.",30000000.0,Pre-series B,Pre-seed,2020,Information Technology
Razorpay,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",1000000000.0,Series D,"Series B,C,D&E",2020,Financials
Ninjacart,Bangalore,Food Industry,"Ninjacart is a business-to-business fresh produce supply chain that connects farmers, manufactures, and brands to retailers directly.",300000000.0,Undisclosed,Others,2020,Consumer Discretionary
Wow! Momo,Kolkata,Food Industry,Wow! Momo is a chain of fast-food restaurants that specializes in momos.,50000000.0,Debt,,2020,Consumer Discretionary
Pepper Content,Mumbai,Content marketplace,Pepper Content is a Content-Mediation Platform that connects talented writers to organisations that require content.,42000000.0,Series A,Series A,2020,Information Technology
LIVSPACE,Bangalore,Interior Design,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and products.",40000000.0,Debt,,2020,Consumer Discretionary
Acculi Labs,Bangalore,Healthcare,Acculi Labs is a clinical grade smartphone based diagnostic tool,6000000.0,Seed,Seed,2020,Health Care
Unnati,Noida,AgriTech,A helping hand to the farming community through Artificial Intelligence,17000000.0,Pre-series A,Pre-seed,2020,Information Technology
Disprz,Chennai,Edtech,"Disprz is a one-of-its-kind “knowledge-tech” start-up that strives to make people knowledgeable, productive and smarter at what they do.",16000000.0,Pre-series B,Pre-seed,2020,unknown
Uni,Mumbai,FinTech,The team aims to bridge the gap for credit cards and make them more accessible for people across different regions.,185000000.0,Seed,Seed,2020,Financials
Credit Wise Capital,Mumbai,FinTech,CreditWise Capital is a consumer finance company.,60000000.0,Seed,Seed,2020,Financials
Reliance Retail Ventures Ltd,Mumbai,Retail,"Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.",700000000000.0,Undisclosed,Others,2020,Consumer Discretionary
Winuall,Bangalore,Edtech,"Winuall specializes in the fields of E-learning, online quizzes, and tests, study material for competitive exams.",20000000.0,Undisclosed,Others,2020,unknown
Livve,Cochin,Rental space,An online platform where both owners and tenants find help in making sure their rental transaction are safe and secure.,15000000.0,Seed,Seed,2020,Consumer Discretionary
Krishitantra,Hyderabad,Soil-Tech,Krishi-Tantra is an Agri-IoT startup building farm automation for controlled agricultural environment.,10000000.0,Seed,Seed,2020,Information Technology
PakkaProfile,Bangalore,Recruitment startup,"PakkaProfile bridges the gap between companies and the workforce by making better, unbiased decisions with the help of psychometric games",0.0,Seed,Seed,2020,Industrial
Pesto,New Delhi,Edtech,Pesto is a career accelerator for software engineers with the mission to take opportunities to places where talent exists.,0.0,Undisclosed,Others,2020,unknown
NirogStreet,Gurugram,Ayurveda tech,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,20000000.0,Pre-series A,Pre-seed,2020,Information Technology
Bambrew,Bangalore,Packaging solution startup,Bambrew is an online shop for reusable bamboo straws.,0.0,Pre-seed,Pre-seed,2020,Information Technology
Fanball XI,New Delhi,Gaming,The gaming company mostly focused on fantasy football games,10000000.0,Seed,Seed,2020,Consumer Discretionary
Treebo Hotels,Bangalore,Hospitality,"Treebo is India's tech-enabled, asset-light affordable accommodation brand.",60000000.0,Undisclosed,Others,2020,Health Care
GPS Renewables,Bangalore,Cleantech,To solve the urban waste problem by utilising local technologies and business models.,30000000.0,Series A,Series A,2020,Information Technology
Public,New Delhi,Social Media,Video-led social app Public provides users with a platform to share and view important hyperlocal videos,300000000.0,Undisclosed,Others,2020,Consumer Discretionary
Legal Salah,Kolkata,LegalTech,Legal Salah is bringing the provision of imparting value based legal and consultancy services to the user.,10000000.0,Seed,Seed,2020,Consumer Discretionary
FanPlay,New Delhi,Gaming,FanPlay Technologies operates as a real-money gaming startup.,0.0,Seed,Seed,2020,Consumer Discretionary
ECOSTP,Bangalore,Sanitation solutions,Eco friendly zero power zero maintenance sewage treatment plant in India.,190000000.0,Undisclosed,Others,2020,Information Technology
